"Query_sequence","Most_common_class.level.assignment","Class.level_assignment","Most_common_order.level.assignment","Order.level_assignment","Most_common_family.level.assignment","Family.level_assignment","Taxon_assignment","Likelihood_weight","otu","Extraction_ID","Tree_ID","site_ID"
"EUSF1361_ITS1F_G11_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF01361","S6T3","S6"
"EUSF1364_ITS1F_B12_mixed_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Biscogniauxia_mediterranea","1","OTU39","EUSF01364","S4T2","S4"
"EUSF1370_ITS1F_A01_mixed_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Kretzschmaria_deusta","1","OTU136","EUSF01370","S5T4","S5"
"EUSF1371_ITS1F_B01_mixed_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Kretzschmaria_deusta","1","OTU182","EUSF01371","S5T4","S5"
"EUSF1374_ITS1F_E01_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Biscogniauxia_mediterranea","1","OTU97","EUSF01374","S4T2","S4"
"EUSF1376_ITS1F_G01_mixed_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Biscogniauxia_mediterranea","1","OTU39","EUSF01376","S5T4","S5"
"EUSF1377_ITS1F_H01_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF01377","S5T4","S5"
"EUSF1378_ITS1F_A02_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF01378","S5T4","S5"
"EUSF1380_ITS1F_C02_cleaned.ab1","Sordariomycetes","Sordariomycetes","Coniochaetales","Coniochaetales","Coniochaetaceae","Coniochaetaceae","Coniochaeta_decumbens","0.200038, 0.200030, 0.200001, 0.199981, 0.199950","OTU225","EUSF01380","S4T2","S4"
"EUSF1382_ITS1F_E02_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.999115","OTU253","EUSF01382","S5T4","S5"
"EUSF1383_ITS1F_A08_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF01383","S5T4","S5"
"EUSF1387_ITS1F_B03_mixed_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385","OTU31","EUSF01387","S1T1","S1"
"EUSF1394_ITS1F_A04_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999901","OTU265","EUSF01394","S1T2","S1"
"EUSF1395_ITS1F_B04_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF01395","S1T2","S1"
"EUSF1396_ITS1F_C04_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.990633","OTU38","EUSF01396","S1T2","S1"
"EUSF1400_ITS1F_G04_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF01400","S1T3","S1"
"EUSF1402_ITS1F_A05_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999901","OTU265","EUSF01402","S1T3","S1"
"EUSF1408_ITS1F_G05_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Alternaria_sp","0.268629, 0.183036, 0.182885, 0.182760, 0.182691","OTU197","EUSF01408","S2T1","S2"
"EUSF1409_ITS1F_H05_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF01409","S2T1","S2"
"EUSF1416_ITS1F_G06_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Apiosporaceae","Apiosporaceae","Apiospora_setosa,Apiospora_bambusae,Apiospora_tintinnabula,Arthrinium_sacchari,Arthrinium_arundinis","0.970542","OTU205","EUSF01416","S2T3","S2"
"EUSF1419_ITS1F_B07_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pezizaceae","Pezizaceae","Peziza_praetervisa,Peziza_lobulata","0.995639","OTU131","EUSF01419","S2T3","S2"
"EUSF1420_ITS1F_C07_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Sporormiaceae","Sporormiaceae","Westerdykella_cylindrica,Preussia_minima","0.197718, 0.145781, 0.110831, 0.108753, 0.106375, 0.077006, 0.074398, 0.072977, 0.053188, 0.041031","OTU9","EUSF01420","S2T4","S2"
"EUSF1421_ITS1F_D07_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999901","OTU265","EUSF01421","S2T4","S2"
"EUSF1425_ITS1F_H07_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.999451","OTU12","EUSF01425","S2T5","S2"
"EUSF1429_ITS1F_D08_mixed_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pezizaceae","Pezizaceae","Peziza_praetervisa,Peziza_lobulata","0.996219","OTU120","EUSF01429","S2T5","S2"
"EUSF1430_ITS1F_E08_mixed_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pyronemataceae","Pyronemataceae","Geopyxis_carbonaria","0.884610, 0.045013, 0.035204","OTU104","EUSF01430","S2T5","S2"
"EUSF1432_ITS1F_G08_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pyronemataceae","Pyronemataceae","Geopyxis_carbonaria","0.884610, 0.045013, 0.035204","OTU104","EUSF01432","S2T5","S2"
"EUSF1433_ITS1F_H08_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.430282, 0.357625, 0.203987","OTU16","EUSF01433","S2T5","S2"
"EUSF1434_ITS1F_A09_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Kretzschmaria_deusta","1","OTU5","EUSF01434","S3T1","S3"
"EUSF1437_ITS1F_D09_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF01437","S3T1","S3"
"EUSF1440_ITS1F_G09_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pyronemataceae","Pyronemataceae","Geopyxis_carbonaria","1","OTU194","EUSF01440","S3T1","S3"
"EUSF1441_ITS1F_H09_mixed_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pyronemataceae","Pyronemataceae","Geopyxis_carbonaria","0.884610, 0.045013, 0.035204","OTU104","EUSF01441","S3T1","S3"
"EUSF1448_ITS1F_G10_mixed_cleaned.ab1","Sordariomycetes","Sordariomycetes","Diaporthales","Diaporthales","Diaporthaceae","Diaporthaceae","Diaporthe_eres","1","OTU237","EUSF01448","S3T3","S3"
"EUSF1449_ITS1F_H10_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF01449","S3T3","S3"
"EUSF1450_ITS1F_A11_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pyronemataceae","Pyronemataceae","Tricharina_praecox","1","OTU66","EUSF01450","S3T4","S3"
"EUSF1451_ITS1F_B11_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Kretzschmaria_deusta","1","OTU182","EUSF01451","S3T4","S3"
"EUSF1452_ITS1F_C11_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla","1","OTU198","EUSF01452","S3T5","S3"
"EUSF1456_ITS1F_G11_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Didymellaceae","Didymellaceae","Phoma_herbarum,Ascochyta_rabiei,Ascochyta_pisi","0.958126","OTU177","EUSF01456","S3T5","S3"
"EUSF1459_ITS1F_B12_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF01459","S3T5","S3"
"EUSF1464_ITS1F_G12_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla","1","OTU150","EUSF01464","S3T5","S3"
"EUSF1466_ITS1F_B01_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Pseudocercospora_fijiensis,Cercospora_beticola","0.504142, 0.318083, 0.160329","OTU54","EUSF01466","S3T5","S3"
"EUSF1468_ITS1F_D01_cleaned.ab1","Sordariomycetes","Sordariomycetes","Coniochaetales","Coniochaetales","Coniochaetaceae","Coniochaetaceae","Coniochaeta_ligniaria","0.998077","OTU204","EUSF01468","S4T1","S4"
"EUSF1469_ITS1F_E01_cleaned.ab1","Sordariomycetes","Sordariomycetes","Coniochaetales","Coniochaetales","Coniochaetaceae","Coniochaetaceae","Coniochaeta_ligniaria","0.998076","OTU210","EUSF01469","S4T1","S4"
"EUSF1470_ITS1F_F01_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Kretzschmaria_deusta","1","OTU182","EUSF01470","S4T1","S4"
