Query_sequence,Most_common_class-level assignment,Class-level_assignment,Most_common_order-level assignment,Order-level_assignment,Most_common_family-level assignment,Family-level_assignment,Taxon_assignment,Likelihood_weight,otu
EUSF0909_ITS1F_E02_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0910_ITS1F_F02_cleaned.ab1,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,Coniochaeta_ligniaria,0.998077,OTU204
EUSF0911_ITS1F_G02_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU202
EUSF0913_ITS1F_A03_cleaned.ab1,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,"Coniochaeta_ligniaria,Coniochaeta_hoffmannii","0.485769, 0.176945, 0.101919, 0.092712, 0.062888, 0.036847",OTU121
EUSF0915_ITS1F_C03_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Cladosporiaceae,"Cladosporiaceae,Davidiellaceae","Cladosporium_cladosporioides,Cladosporium_allicinum,Cladosporium_sphaerospermum,Davidiellaceae_sp_AN1",0.999623,OTU140
EUSF0916_ITS1F_D03_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU50
EUSF0917_ITS1F_E03_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Kretzschmaria_deusta,1,OTU182
EUSF0918_ITS1F_F03_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0919_ITS1F_G03_cleaned.ab1,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,"Coniochaeta_ligniaria,Coniochaeta_hoffmannii","0.938717, 0.033889",OTU75
EUSF0920_ITS1F_H03_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU35
EUSF0921_ITS1F_A04_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0923_ITS1F_C04_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU39
EUSF0924_ITS1F_A01_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU238
EUSF0925_ITS1F_E04_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0928_ITS1F_H04_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU180
EUSF0929_ITS1F_A05_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU71
EUSF0931_ITS1F_C05_cleaned.ab1,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Pyronemataceae,Pyronemataceae,Tricharina_praecox,1,OTU171
EUSF0932_ITS1F_D05_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232",OTU208
EUSF0933_ITS1F_E05_cleaned.ab1,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,unclassified,unclassified,Cyclaneusma_minus,0.996541,OTU33
EUSF0934_ITS1F_F05_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU36
EUSF0935_ITS1F_G05_cleaned.ab1,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Pyronemataceae,Pyronemataceae,Tricharina_praecox,1,OTU211
EUSF0936_ITS1F_H05_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0937_ITS1F_A06_cleaned.ab1,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Didymellaceae,Didymellaceae,Ascochyta_rabiei,"0.759056, 0.146718, 0.062632",OTU134
EUSF0938_ITS1F_B06_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU233
EUSF0939_ITS1F_C06_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232",OTU208
EUSF0940_ITS1F_D06_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Kretzschmaria_deusta,1,OTU182
EUSF0941_ITS1F_E06_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU238
EUSF0942_ITS1F_F06_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.982573,OTU59
EUSF0943_ITS1F_G06_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0944_ITS1F_H06_cleaned.ab1,Dothideomycetes,Dothideomycetes,unclassified,unclassified,Kirschsteiniotheliaceae,Kirschsteiniotheliaceae,"Kirschsteiniothelia_aethiops,Kirschsteiniothelia_aethiops_1",1,OTU24
EUSF0945_ITS1F_A07_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.977272,OTU45
EUSF0946_ITS1F_B07_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0947_ITS1F_C07_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU158
EUSF0948_ITS1F_D07_cleaned.ab1,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,unclassified,unclassified,Cyclaneusma_minus,0.996541,OTU33
EUSF0949_ITS1F_E07_mixed_cleaned.ab1,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,unclassified,unclassified,Cyclaneusma_minus,0.999274,OTU254
EUSF0950_ITS1F_F07_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.982573,OTU59
EUSF0951_ITS1F_G07_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU158
EUSF0952_ITS1F_H07_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.977272,OTU45
EUSF0953_ITS1F_A08_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU14
EUSF0954_ITS1F_B08_cleaned.ab1,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Dermateaceae,Dermateaceae,Pezicula_carpinea,0.990402,OTU21
EUSF0955_ITS1F_C08_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.982573,OTU59
EUSF0956_ITS1F_D08_cleaned.ab1,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Dermateaceae,Dermateaceae,Pezicula_carpinea,0.989832,OTU79
EUSF0957_ITS1F_B01_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU14
EUSF0958_ITS1F_F08_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU39
EUSF0959_ITS1F_G08_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.590196, 0.203053, 0.201282",OTU200
EUSF0960_ITS1F_H08_cleaned.ab1,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,unclassified,unclassified,Cyclaneusma_minus,0.996541,OTU33
EUSF0961_ITS1F_A09_cleaned.ab1,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Dermateaceae,Dermateaceae,Pezicula_carpinea,0.989832,OTU79
EUSF0962_ITS1F_B09_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0963_ITS1F_C09_cleaned.ab1,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,unclassified,unclassified,Cyclaneusma_minus,0.996541,OTU33
EUSF0964_ITS1F_D09_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU158
EUSF0965_ITS1F_E09_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0966_ITS1F_F09_cleaned.ab1,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,"Coniochaeta_ligniaria,Coniochaeta_hoffmannii",0.95137,OTU2
EUSF0967_ITS1F_G09_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Apiosporaceae,Apiosporaceae,Arthrinium_puccinioides,"0.587324, 0.294261, 0.057883, 0.011980",OTU114
EUSF0968_ITS1F_H09_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Cladosporiaceae,Cladosporiaceae,Cladosporium_cladosporioides,0.999895,OTU11
EUSF0969_ITS1F_A10_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.977272,OTU45
EUSF0970_ITS1F_B10_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0971_ITS1F_C10_cleaned.ab1,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,"Westerdykella_cylindrica,Preussia_minima","0.198046, 0.145861, 0.111028, 0.108654, 0.106554, 0.076839, 0.074317, 0.072795, 0.053130, 0.040882",OTU74
EUSF0972_ITS1F_D10_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.977272,OTU45
EUSF0973_ITS1F_E10_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0974_ITS1F_F10_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.590196, 0.203053, 0.201282",OTU22
EUSF0975_ITS1F_G10_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.984559,OTU212
EUSF0976_ITS1F_H10_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU35
EUSF0980_ITS1F_D11_cleaned.ab1,Sordariomycetes,Sordariomycetes,Sordariales,Sordariales,Chaetomiaceae,Chaetomiaceae,Chaetomium_elatum,0.992937,OTU193
EUSF0981_ITS1F_E11_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232",OTU208
EUSF0982_ITS1F_F11_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Apiosporaceae,Apiosporaceae,Arthrinium_puccinioides,0.993357,OTU187
EUSF0983_ITS1F_G11_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Kretzschmaria_deusta,1,OTU182
EUSF0984_ITS1F_H11_cleaned.ab1,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,Coniochaeta_ligniaria,0.998077,OTU204
EUSF0985_ITS1F_A12_cleaned.ab1,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,Coniochaeta_ligniaria,0.998077,OTU204
EUSF0986_ITS1F_B12_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Kretzschmaria_deusta,1,OTU182
EUSF0987_ITS1F_C12_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Nemania_aenea,"0.584079, 0.216540, 0.196881",OTU19
EUSF0988_ITS1F_D12_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU50
EUSF0989_ITS1F_E12_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Apiosporaceae,Apiosporaceae,"Apiospora_setosa,Apiospora_bambusae,Apiospora_tintinnabula,Arthrinium_sacchari,Arthrinium_arundinis",0.970542,OTU205
EUSF0990_ITS1F_F12_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU123
EUSF0991_ITS1F_G12_cleaned.ab1,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Pyronemataceae,Pyronemataceae,Geopyxis_carbonaria,1,OTU232
EUSF0992_ITS1F_A01_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Nemania_aenea,"0.888194, 0.056208, 0.055173",OTU98
EUSF0993_ITS1F_B01_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232",OTU208
EUSF0994_ITS1F_C01_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232",OTU208
EUSF0995_ITS1F_D01_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Kretzschmaria_deusta,1,OTU182
EUSF0996_ITS1F_E01_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU28
EUSF0997_ITS1F_F01_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU235
EUSF0998_ITS1F_G01_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU39
EUSF0999_ITS1F_H01_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU50
EUSF1000_ITS1F_A02_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU50
EUSF1001_ITS1F_B02_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU39
EUSF1002_ITS1F_C02_cleaned.ab1,Sordariomycetes,Sordariomycetes,Sordariales,Sordariales,Chaetomiaceae,Chaetomiaceae,Chaetomium_elatum,1,OTU60
EUSF1003_ITS1F_D02_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU97
EUSF1004_ITS1F_E02_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU129
EUSF1005_ITS1F_F02_cleaned.ab1,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Discinaceae,Discinaceae,Gyromitra_infula,1,OTU96
EUSF1006_ITS1F_G02_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU97
EUSF1007_ITS1F_H02_cleaned.ab1,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Lophiostomataceae,"Lophiostomataceae,Trematosphaeriaceae,unclassified","Lophiostoma_crenatum,Trematosphaeria_heterospora,Sigarispora_arundinis,Massariosphaeria_grandispora","0.311493, 0.308854, 0.305366, 0.024152, 0.017846",OTU192
EUSF1008_ITS1F_A03_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF1009_ITS1F_B03_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU259
EUSF1010_ITS1F_C03_mixed_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU63
EUSF1011_ITS1F_D03_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU184
EUSF1012_ITS1F_E03_cleaned.ab1,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,"Coniochaeta_ligniaria,Coniochaeta_hoffmannii","0.942473, 0.030847",OTU257
EUSF1013_ITS1F_F03_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.977263,OTU201
EUSF1014_ITS1F_G03_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU39
EUSF1015_ITS1F_H03_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF1017_ITS1F_B04_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU39
EUSF1018_ITS1F_C04_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232",OTU208
EUSF1019_ITS1F_D04_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU99
EUSF1021_ITS1F_F04_mixed_cleaned.ab1,Dothideomycetes,Dothideomycetes,Trypetheliales,Trypetheliales,Trypetheliaceae,Trypetheliaceae,"Astrothelium_cinnamomeum,Trypethelium_nitidiusculum,Trypethelium_virens,Laurera_megasperma","0.079049, 0.072284, 0.071387, 0.069543, 0.064003, 0.063991, 0.044036, 0.044002, 0.044002, 0.044002, 0.044002, 0.044002, 0.024926, 0.024925, 0.019397, 0.019382, 0.015000, 0.015000, 0.009531, 0.009529, 0.006225, 0.006047, 0.006046, 0.005631, 0.005437, 0.005437, 0.004814, 0.004812, 0.004772, 0.004765, 0.004760, 0.004706, 0.004705, 0.004309, 0.003864, 0.003838, 0.003418, 0.003197, 0.003115, 0.003078, 0.003076, 0.003076, 0.003076, 0.003076, 0.003076, 0.002929, 0.002920, 0.002533, 0.002504, 0.001685, 0.001674, 0.001674, 0.001674, 0.001590, 0.001319",OTU46
EUSF1022_ITS1F_G04_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Nemania_aenea,0.999926,OTU78
EUSF1023_ITS1F_H04_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.977272,OTU45
EUSF1024_ITS1F_A05_cleaned.ab1,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,Coniochaeta_ligniaria,0.998077,OTU204
EUSF1026_ITS1F_C05_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU97
EUSF1027_ITS1F_D05_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU203
EUSF1028_ITS1F_E05_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU221
EUSF1029_ITS1F_F05_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.977664,OTU10
EUSF1030_ITS1F_G05_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.977272,OTU45
EUSF1031_ITS1F_H05_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Cladosporiaceae,Cladosporiaceae,Cladosporium_cladosporioides,0.999895,OTU11
EUSF1032_ITS1F_A06_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.977272,OTU45
EUSF1033_ITS1F_B06_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Cladosporiaceae,Cladosporiaceae,Cladosporium_cladosporioides,0.999895,OTU11
EUSF1034_ITS1F_C06_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628",OTU109
EUSF1036_ITS1F_E06_cleaned.ab1,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Pleospora_herbarum,0.999362,OTU108
EUSF1037_ITS1F_F06_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Cladosporiaceae,Cladosporiaceae,Cladosporium_cladosporioides,0.999902,OTU161
EUSF1038_ITS1F_G06_cleaned.ab1,Sordariomycetes,Sordariomycetes,Sordariales,Sordariales,Chaetomiaceae,Chaetomiaceae,Chaetomium_elatum,1,OTU139
EUSF1039_ITS1F_H06_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Kretzschmaria_deusta,1,OTU182
EUSF1040_ITS1F_A07_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Cladosporiaceae,Cladosporiaceae,Cladosporium_cladosporioides,0.999895,OTU11
EUSF1041_ITS1F_B07_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU115
EUSF1042_ITS1F_C07_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232",OTU208
EUSF1043_ITS1F_D07_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232",OTU208
EUSF1044_ITS1F_E07_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU39
EUSF1045_ITS1F_F07_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU97
EUSF1046_ITS1F_G07_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232",OTU208
EUSF1048_ITS1F_A08_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
