Query_sequence,Most_common_class-level assignment,Class-level_assignment,Most_common_order-level assignment,Order-level_assignment,Most_common_family-level assignment,Family-level_assignment,Taxon_assignment,Likelihood_weight,otu
EUSF0687_ITS1F_A10_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.469205, 0.290455, 0.218908",OTU168
EUSF0688_ITS1F_B10_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU14
EUSF0689_ITS1F_C10_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU14
EUSF0690_ITS1F_D10_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU97
EUSF0691_ITS1F_E10_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628",OTU109
EUSF0692_ITS1F_F10_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU238
EUSF0693_ITS1F_G10_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU14
EUSF0694_ITS1F_H10_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628",OTU109
EUSF0695_ITS1F_A11_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU14
EUSF0696_ITS1F_B11_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Kretzschmaria_deusta,1,OTU133
EUSF0697_ITS1F_C11_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU39
EUSF0698_ITS1F_D11_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU158
EUSF0700_ITS1F_F11_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU14
EUSF0701_ITS1F_G11_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628",OTU109
EUSF0702_ITS1F_H11_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Kretzschmaria_deusta,1,OTU182
