Date,culture_id,motu_id,full_culture_ID
2017-06-09,274,MOTU017,ZUSF00274
2017-06-09,250,MOTU017,ZUSF00250
2017-06-09,428,MOTU017,ZUSF00428
2017-06-09,169,MOTU017,ZUSF00169
2017-06-09,348,MOTU017,ZUSF00348
2017-06-09,192,MOTU017,ZUSF00192
2017-06-09,292,MOTU017,ZUSF00292
2017-06-09,291,MOTU017,ZUSF00291
2017-06-09,216,MOTU017,ZUSF00216
2017-06-09,637,MOTU017,ZUSF00637
2017-06-09,224,MOTU017,ZUSF00224
2017-06-09,278,MOTU017,ZUSF00278
2017-06-09,265,MOTU017,ZUSF00265
2017-06-09,350,MOTU017,ZUSF00350
2017-06-09,380,MOTU017,ZUSF00380
2017-06-09,185,MOTU017,ZUSF00185
2017-06-09,211,MOTU017,ZUSF00211
2017-06-09,383,MOTU017,ZUSF00383
2017-06-09,376,MOTU017,ZUSF00376
2017-06-09,263,MOTU017,ZUSF00263
2017-06-09,386,MOTU017,ZUSF00386
2017-06-09,228,MOTU017,ZUSF00228
2017-06-09,367,MOTU017,ZUSF00367
2017-06-09,297,MOTU017,ZUSF00297
2017-06-09,427,MOTU017,ZUSF00427
2017-06-09,387,MOTU017,ZUSF00387
2017-06-09,270,MOTU017,ZUSF00270
2017-06-09,393,MOTU017,ZUSF00393
2017-06-09,237,MOTU017,ZUSF00237
2017-06-09,295,MOTU017,ZUSF00295
2017-06-09,240,MOTU017,ZUSF00240
2017-06-09,204,MOTU017,ZUSF00204
2017-06-09,293,MOTU017,ZUSF00293
2017-06-09,243,MOTU017,ZUSF00243
2017-06-09,360,MOTU017,ZUSF00360
2017-06-09,239,MOTU017,ZUSF00239
2017-06-09,363,MOTU017,ZUSF00363
2017-06-09,247,MOTU017,ZUSF00247
2017-06-09,410,MOTU017,ZUSF00410
2017-06-09,378,MOTU017,ZUSF00378
2017-06-09,382,MOTU017,ZUSF00382
2017-06-09,245,MOTU017,ZUSF00245
2017-06-09,299,MOTU017,ZUSF00299
2017-06-09,248,MOTU017,ZUSF00248
2017-06-09,388,MOTU017,ZUSF00388
2017-06-09,296,MOTU017,ZUSF00296
2017-06-09,609,MOTU017,ZUSF00609
2017-06-09,370,MOTU017,ZUSF00370
2017-06-09,407,MOTU018,ZUSF00407
2017-06-09,552,MOTU018,ZUSF00552
2017-06-09,468,MOTU018,ZUSF00468
2017-06-09,397,MOTU018,ZUSF00397
2017-06-09,563,MOTU018,ZUSF00563
2017-06-09,566,MOTU018,ZUSF00566
2017-06-09,482,MOTU018,ZUSF00482
2017-06-09,335,MOTU018,ZUSF00335
2017-06-09,560,MOTU018,ZUSF00560
2017-06-09,534,MOTU018,ZUSF00534
2017-06-09,342,MOTU018,ZUSF00342
2017-06-09,333,MOTU018,ZUSF00333
2017-06-09,577,MOTU018,ZUSF00577
