ID_Culture,IDf_Plant_tissue_sample,IDf_Culture_subcultured_from,IDf_Storage_location,IDf_Personnel,From_Label_ID,Label_ID,Genus,Species,Strain,Media_type,Plate_size,Location_plated,Sterilization_method_used,Date_cultured,Notes,z_RecordCreationTimestamp,z_RecordModificationTimestamp,z_RecordCreationAccount,z_RecordModificationAccount
,,,,EmmaG,S1T3,ZUSF00335,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T3,ZUSF00336,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T3,ZUSF00337,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T3,ZUSF00338,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T3,ZUSF00339,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T3,ZUSF00340,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T3,ZUSF00341,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T3,ZUSF00342,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T3,ZUSF00343,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T3,ZUSF00344,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T3,ZUSF00345,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T3,ZUSF00346,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T3,ZUSF00347,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00348,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00349,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00350,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00351,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00352,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00353,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00354,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00355,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00356,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00357,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00358,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00359,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00360,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00361,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00362,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00363,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00364,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00365,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
