strain_name,Phylum,Order,GenusSpecies,AFTOL-ID,Strain_voucher,x18S,x28S,RPB1,RPB2,EF1A,nucITS,PreviousName
EUSF00574,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01859,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01471,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01335,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00686,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00627,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01862,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00642,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01924,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01702,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01123,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00576,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00650,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01943,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00584,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01544,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00898,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01687,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01269,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00964,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01929,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01690,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00819,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01432,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01207,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00934,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01904,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00990,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00562,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01430,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00988,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00976,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00958,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00632,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00989,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00981,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00973,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00552,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00983,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00951,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00931,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00911,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00698,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00676,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01450,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01387,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01100,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00986,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00935,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00928,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00908,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01440,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00991,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00957,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00953,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00941,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00924,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00868,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00827,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00788,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00700,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00693,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00692,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00688,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00684,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00678,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00670,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01871,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00727,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01958,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01714,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01703,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01526,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01448,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01374,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01364,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01041,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00999,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00923,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00920,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00916,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00906,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00905,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00902,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00901,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00839,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00708,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00706,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00697,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00683,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00674,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00652,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00646,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00644,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00643,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00639,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00630,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00625,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00622,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01527,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01351,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00970,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00965,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00962,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00946,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00943,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00939,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00936,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00932,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00925,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00913,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00909,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00899,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00875,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00829,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00820,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00817,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00816,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00801,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00725,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00681,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00680,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00675,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00668,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00662,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00645,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00637,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00618,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00617,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00616,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00603,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00536,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00520,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01701,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01256,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00803,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00721,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00714,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00711,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00689,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00687,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01923,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01619,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01451,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01416,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01371,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01197,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01180,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01171,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01126,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01027,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00984,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00940,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00917,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00904,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00883,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00879,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00859,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00842,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00821,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00702,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00690,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00649,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00604,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01593,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01355,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01266,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01262,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01152,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01017,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01011,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF01003,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00947,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00907,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00783,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
EUSF00656,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query,unknown_query
