strain_name,Phylum,Order,GenusSpecies,AFTOL-ID,Strain_voucher,x18S,x28S,RPB1,RPB2,EF1A,nucITS,PreviousName
657_Capronia_pilosella,Ascomycota,Chaetothyriales, Capronia pilosella ,657, WUC28, DQ823106, DQ823099, DQ840554, DQ840561, DQ840565, DQ826737,
217_Chaetomium_globosum,Ascomycota,Sordariales, Chaetomium globosum ,217, GenBank, AY545725, AY545729, AAFU01000188 REGION: 73498 ..76125, AAFU01001128 REGION: 238 .. 2979 , DQ518176, DQ518179,
148_Cheilymenia_stercorea,Ascomycota,Pezizales, Cheilymenia stercorea ,148, OSC 100034, AY544705, AY544661, DQ471123, AY544733, DQ471052, DQ491500,
Chlamydomonas_reinhardtii,Chlorophyta,, Chlamydomonas reinhardtii ,, GenBank,  M32703.1,  AF183463,  G, G, paralog, U66954,
151_Chlorociboria_aeruginosa,Ascomycota,Helotiales, Chlorociboria aeruginosa ,151, OSC 100056, AY544713, AY544669, DQ471125, DQ470886, DQ471053, DQ491501,
867_Cintractia_sorghi-vulgaris,Basidiomycota,Ustilaginales, Cintractia sorghi-vulgaris ,867, CBS 104.17, DQ234548, AY745726, --, DQ234549, DQ028590, DQ200931,
Ciona_intestinalis,Animalia,, Ciona intestinalis ,, GenBank, AB013017,  AF212177,  AABS01000823 REGION: 9183.. 18948 , AABS01000442 REGION: 13491 ,..23574 , AB070230,
27_Cladochytrium_replicatum,Chytridiomycota,Chytridiales, Cladochytrium replicatum ,27, JEL180, AY546683, AY546688, DQ294587, DQ302774, DQ282607, AY997037,
3_Cladonia_caroliniana,Ascomycota,Lecanorales, Cladonia caroliniana ,3, 01-26-03.2, AY584664, AY584640, DQ782822, AY584684, DQ782888, DQ782832,
563_Clavaria_zollingeri,Basidiomycota,Cantharellales, Clavaria zollingeri ,563, TENN 58652 , AY657008, AY639882, AY857987-8 , AY780940, AY881024, AY854071,
1268_Clavispora_lusitaniae,Ascomycota,Saccharo-mycetales, Clavispora_lusitaniae,1268, GenBank, M55526, AAFT01000087 REGION: 56020.. 56838 , AAFT01000002 REGION: 415878.. 418490, AAFT01000003 REGION: 85594.. 88339 , AAFT01000062 REGION: 135156..136436 , AY321475,Candida lusitaniae 
767_Climacodon_septentrionalis,Basidiomycota,Stereales, Climacodon septentrionalis ,767, ZW s.n., AY705964, AY684165, AY864872 -3 , AY780941, AY885151, AY854082,
1084_Coccidioides_immitis,Ascomycota,Onygenales, Coccidioides immitis ,1084, RS, AAEC02000046 REGION: 75557.. 77144 , AAEC02000027 REGION: 29738 ..31122, AAEC02000017 REGION: 34058 ..37220, AAEC02000035 REGION: 62079.. 64829 , AAEC02000020 REGION: 35520..37037 , --,
147_Coccomyces_dentatus,Ascomycota,Rhytismatales, Coccomyces dentatus ,147, OSC 100021, AY544701, AY544657, --, DQ247789, DQ497605, DQ491499,
18_Coelomomyces_stegomyiae,Chytridiomycota,Blastocladiales, Coelomomyces stegomyiae ,18, DUH0008925 , AF322406, DQ273767, DQ294579, DQ302766, paralog, AY997038,
140_Coemansia_reversa,Zygomycota,Kickxellales, Coemansia reversa ,140, NRRL1564, AF007533, AY546689, DQ294594, DQ302783, DQ282615, AY997039,
