"Query_sequence","Most_common_class.level.assignment","Class.level_assignment","Most_common_order.level.assignment","Order.level_assignment","Most_common_family.level.assignment","Family.level_assignment","Taxon_assignment","Likelihood_weight","otu","Extraction_ID","Tree_ID","site_ID"
"EUSF0838_ITS1F_D05_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0838","S3T4","S3"
"EUSF0839_ITS1F_E05_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.990633","OTU38","EUSF0839","S3T5","S3"
"EUSF0840_ITS1F_F05_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Cercospora_beticola","0.550287, 0.334177, 0.115536","OTU6","EUSF0840","S3T5","S3"
"EUSF0841_ITS1F_G05_cleaned.ab1","Eurotiomycetes","Eurotiomycetes","Eurotiales","Eurotiales","Aspergillaceae","Aspergillaceae","Penicillium_viridicatum,Penicillium_freii","0.999994","OTU214","EUSF0841","S3T5","S3"
"EUSF0842_ITS1F_H05_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Kretzschmaria_deusta","1","OTU182","EUSF0842","S3T5","S3"
"EUSF0843_ITS1F_A06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla","1","OTU230","EUSF0843","S3T5","S3"
"EUSF0844_ITS1F_B06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Pseudocercospora_fijiensis","0.999991","OTU8","EUSF0844","S3T5","S3"
"EUSF0845_ITS1F_C06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0845","S3T5","S3"
"EUSF0846_ITS1F_D06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999902","OTU185","EUSF0846","S3T5","S3"
"EUSF0847_ITS1F_E06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Cercospora_beticola","0.550287, 0.334177, 0.115536","OTU6","EUSF0847","S3T5","S3"
