ID_Culture_event,IDf_Plant_experimental_treatment,IDf_Culture,IDf_Personnel,Date,Time,Label_ID,Status,Morphology,Culture_diameter_cm,Image_path,Data_path,Notes,z_RecordCreationTimestamp,z_RecordModificationTimestamp,z_RecordCreationAccount,z_RecordModificationAccount
,,,Emma,2017-03-09,12:00,ZUSF00059,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00060,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00061,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00062,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00063,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00064,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00065,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00066,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00067,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00068,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00069,bacterial,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00070,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00071,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00072,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00073,ok,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00074,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00075,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00076,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00077,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00078,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00079,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00080,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:05,ZUSF00081,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:05,ZUSF00082,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:05,ZUSF00083,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:05,ZUSF00084,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:05,ZUSF00085,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:05,ZUSF00086,bacterial,,,,,,,,,
,,,Emma,2017-03-09,12:05,ZUSF00087,bacterial,,,,,,,,,
,,,Emma,2017-03-09,12:05,ZUSF00088,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:05,ZUSF00089,bacterial ?,,,,,,,,,
,,,Emma,2017-03-09,12:05,ZUSF00090,bacterial,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00091,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00092,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00093,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00094,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00095,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:20,ZUSF00096,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:20,ZUSF00097,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:20,ZUSF00098,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:20,ZUSF00099,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00100,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00101,bacterial ?,,,,,very minimal growth,,,,
,,,Emma,2017-03-09,12:10,ZUSF00102,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00103,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00104,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00105,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00106,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00107,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00108,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00109,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00110,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00111,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00112,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00113,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00114,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00115,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00116,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00117,bacterial,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00118,bacterial,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00119,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:10,ZUSF00120,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:20,ZUSF00121,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:20,ZUSF00122,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:20,ZUSF00123,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:20,ZUSF00124,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:20,ZUSF00125,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:20,ZUSF00126,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:20,ZUSF00127,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00001,bacterial,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00002,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00003,bacterial,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00004,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00005,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00006,ok,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00007,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00008,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00009,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00010,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00011,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00012,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00013,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00014,no growth ?,,,,,"completely covered in parafilm, hard to see",,,,
,,,Emma,2017-03-31,12:09,ZUSF00015,no growth,,,,,stuck to top,,,,
,,,Emma,2017-03-31,12:09,ZUSF00016,no growth,,,,,stuck to top,,,,
,,,Emma,2017-03-31,12:09,ZUSF00017,no growth,,,,,stuck to top,,,,
