strain,reference mean,reference standard dev.,user selected cutoff,score (minimum distance to any reference)
EUSF01180,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01181,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF01182,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01184,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01185,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01186,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01187,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01188,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006459
EUSF01189,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006459
EUSF01925,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.01965
EUSF01244,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF01520,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF01621,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012805
EUSF01620,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01266,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019451
EUSF01623,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01622,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01692,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF01268,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01157,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012805
EUSF00651,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.033098
EUSF01156,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01155,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01154,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF00771,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF01629,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01928,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01929,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.717811
EUSF01628,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01923,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01920,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006459
EUSF01921,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012993
