Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common order-level assignment,Order-level assignment,Taxon assignment,otu,otu_references
EUSF01918,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU690,
EUSF01916,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU691,
EUSF01915,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU668,
EUSF01914,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU669,
EUSF01913,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU868,
EUSF01912,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU869,
EUSF01858,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU252,
EUSF01859,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU73,
EUSF01272,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU614,
EUSF00994,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU298,
EUSF00995,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU341,
EUSF00996,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU433,
EUSF00997,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU996,
EUSF00990,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU99,
EUSF00991,Ascomycota,Ascomycota,Pezizales,Pezizales,50_Sarcoscypha_coccinea,OTU124,
EUSF00992,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU300,
EUSF00993,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU299,
EUSF00854,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU929,
EUSF00857,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU890,
EUSF00856,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU398,
EUSF00998,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU269,
EUSF00999,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU149,
EUSF00853,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU825,
EUSF00852,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU738,
EUSF00554,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU790,
EUSF00968,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU698,
EUSF01033,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU817,
EUSF00542,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU485,
EUSF00541,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU568,
EUSF00540,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU410,"OTU391,OTU390,OTU568,OTU567,OTU380,OTU370,OTU440,OTU438,OTU491,OTU496,OTU558,OTU552,OTU652,OTU379,OTU645,OTU874,OTU676,OTU686,OTU644,OTU633,OTU533,OTU494,OTU428,OTU373,OTU480,OTU402,OTU335,OTU157,OTU343,OTU426,OTU539,OTU352,OTU374,OTU485,OTU510,OTU403,OTU572,OTU371,OTU239,OTU599,OTU641"
EUSF00547,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU632,
EUSF00546,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU60,
EUSF00545,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU426,
EUSF00544,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU633,
EUSF00549,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU792,
EUSF00755,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU908,
EUSF00885,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU879,
EUSF01144,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU470,
EUSF01633,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU58,
EUSF01146,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU337,
EUSF00728,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU404,
EUSF01229,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU254,
EUSF01228,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU440,
EUSF01225,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU641,
EUSF00722,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU380,
EUSF00721,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU208,
EUSF00720,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU645,
EUSF00727,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU140,
EUSF00726,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU24,
EUSF01223,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU525,"OTU559,OTU446,OTU544,OTU535,OTU549,OTU587"
EUSF01222,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU391,
EUSF00640,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU11,
EUSF00641,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU548,"OTU601,OTU627,OTU638,OTU532"
EUSF00642,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU79,
EUSF00643,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU166,
EUSF00644,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU165,
EUSF00645,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU197,
EUSF00646,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU164,
EUSF00647,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU344,
EUSF00648,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU26,
EUSF00649,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU234,"OTU216,OTU316,OTU315,OTU357,OTU353,OTU551,OTU427,OTU106,OTU219,OTU312"
EUSF01161,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU392,
EUSF00705,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU546,
EUSF01246,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU556,
EUSF00950,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU530,
EUSF01245,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU495,
EUSF00669,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU272,
EUSF01708,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU285,OTU260
EUSF00799,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU979,
EUSF00796,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU400,
EUSF01707,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU286,
EUSF01704,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU719,
EUSF01705,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU369,
EUSF01702,Ascomycota,Ascomycota,Pezizales,Pezizales,507_Peziza_vesiculosa,OTU81,
EUSF00793,Ascomycota,Ascomycota,Capnodiales,Capnodiales,939_Capnodium_coffeae,OTU6,
EUSF00790,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU401,
EUSF01242,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU336,
EUSF01038,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU714,
EUSF01039,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU325,
EUSF01241,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU390,
EUSF01276,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU595,
EUSF01030,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU476,
EUSF01031,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU818,
EUSF01032,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU642,
EUSF00702,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU232,
EUSF01034,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU946,
EUSF01036,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU599,
EUSF01037,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU750,
EUSF01526,Ascomycota,Ascomycota,Pezizales,Pezizales,148_Cheilymenia_stercorea,OTU144,
EUSF01527,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU171,
EUSF01133,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU319,
EUSF01525,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU430,
EUSF01522,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU371,
EUSF01520,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU453,
EUSF01521,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU572,
EUSF01687,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU89,
EUSF01686,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU311,
EUSF01685,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU686,
EUSF01684,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU922,
EUSF01528,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU662,
EUSF01680,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU570,
EUSF00899,Ascomycota,Ascomycota,Pezizales,Pezizales,148_Cheilymenia_stercorea,OTU184,"OTU122,OTU144,OTU112"
EUSF00951,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU111,
EUSF01700,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU413,
EUSF01600,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU814,
EUSF01591,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU852,OTU743
EUSF00708,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU158,
EUSF00734,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU953,
EUSF00664,Ascomycota,Ascomycota,Pezizales,Pezizales,50_Sarcoscypha_coccinea,OTU56,
EUSF00972,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU420,
EUSF00973,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU108,
EUSF00970,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU173,
EUSF00971,Ascomycota,Ascomycota,Pleosporales,Pleosporales,1037_Westerdykella_cylindrica,OTU628,
EUSF00976,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU103,
EUSF00736,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU952,
EUSF00974,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU960,
EUSF00975,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU377,
EUSF00737,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU951,
EUSF01595,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU970,
EUSF00730,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU367,
EUSF01594,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU754,
EUSF00731,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU954,
EUSF01355,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU237,
EUSF01354,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU609,
EUSF01153,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU768,
EUSF01459,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU873,
EUSF01351,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU172,
EUSF01350,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU594,
EUSF00865,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU885,
EUSF00959,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU936,
EUSF01452,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU928,
EUSF01450,Ascomycota,Ascomycota,Pezizales,Pezizales,62_Scutellinia_scutellata,OTU116,
EUSF00733,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU665,
EUSF01456,Ascomycota,Ascomycota,Pleosporales,Pleosporales,283_Pyrenophora_phaeocomes,OTU431,283_Pyrenophora_phaeocomes
EUSF01599,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU958,
EUSF01449,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU574,
EUSF01959,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU1003,
EUSF01958,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU141,
EUSF01953,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU66,
EUSF01952,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU328,
EUSF01951,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU282,
EUSF01950,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU384,
EUSF01957,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU347,
EUSF01956,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU550,OTU334
EUSF01955,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU635,
EUSF01954,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU1005,
EUSF01616,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU48,"OTU49,OTU58,OTU54,OTU55,OTU53,OTU52,OTU51,OTU67,71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa"
EUSF00896,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU270,
EUSF01326,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU663,
EUSF00898,Ascomycota,Ascomycota,Pezizales,Pezizales,507_Peziza_vesiculosa,OTU88,
EUSF01328,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU514,
EUSF01329,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU854,
EUSF01086,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU598,
EUSF00743,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU982,
EUSF00608,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU618,"OTU662,OTU714"
EUSF00604,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU235,
EUSF00605,Ascomycota,Ascomycota,Pezizales,Pezizales,148_Cheilymenia_stercorea,OTU563,"OTU434,65_Aleuria_aurantia"
EUSF00606,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU278,
EUSF00607,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU277,
EUSF00600,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU346,
EUSF00601,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU34,
EUSF00602,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU37,
EUSF00603,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU202,
EUSF01882,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU331,
EUSF00802,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU865,
EUSF00803,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU207,
EUSF00800,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU985,
EUSF00801,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU190,
EUSF00806,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU903,
EUSF00807,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU902,
EUSF00804,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU904,
EUSF00805,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU533,
EUSF00851,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU846,"OTU847,657_Capronia_pilosella,668_Exophiala_dermatitidis,669_Exophiala_pisciphila,684_Agonimia_cf_repleta"
EUSF00809,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU399,
EUSF00693,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU133,
EUSF00692,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU134,
EUSF00691,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU968,
EUSF00690,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU233,
EUSF00697,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU160,
EUSF00696,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU407,
EUSF00695,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU307,
EUSF00694,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU912,
EUSF00513,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU449,
EUSF00514,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU921,
EUSF00515,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU486,
EUSF00517,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU606,
EUSF01074,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU257,
EUSF01075,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU339,
EUSF01076,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU42,
EUSF01077,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU695,
EUSF01179,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU597,
EUSF01178,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU586,
EUSF01072,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU944,
EUSF01073,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU322,
EUSF00850,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU891,
EUSF01177,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU498,
EUSF01176,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU466,
EUSF01171,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU220,
EUSF01429,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU67,
EUSF01173,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU467,
EUSF01172,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU468,
EUSF00679,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU408,
EUSF00678,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU137,
EUSF01270,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU517,
EUSF01271,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU493,
EUSF00774,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU366,
EUSF00775,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU998,
EUSF01274,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU457,
EUSF00777,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU986,
EUSF00778,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU997,
EUSF00670,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU138,
EUSF00673,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU381,
EUSF00672,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU409,
EUSF00675,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU194,
EUSF00674,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU162,
EUSF00677,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU435,
EUSF00676,Ascomycota,Ascomycota,Sordariales,Sordariales,217_Chaetomium_globosum,OTU115,
EUSF00936,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU179,
EUSF00937,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU845,
EUSF00934,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU97,
EUSF00935,Ascomycota,Ascomycota,Pezizales,Pezizales,62_Scutellinia_scutellata,OTU120,
EUSF00932,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU180,
EUSF00933,Ascomycota,Ascomycota,Dothideales,"Dothideales,Capnodiales","274_Dothidea_sambuci,921_Dothidea_insculpta,939_Capnodium_coffeae",OTU15,"OTU14,OTU39,OTU30,OTU29,OTU7,OTU9,OTU16,OTU31,OTU44,OTU36"
EUSF01678,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU676,
EUSF00931,Ascomycota,Ascomycota,Pezizales,Pezizales,148_Cheilymenia_stercorea,OTU112,
EUSF00938,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU857,
EUSF00939,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU178,
EUSF01395,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU803,
EUSF01394,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU828,
EUSF01396,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU491,
EUSF01001,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU267,
EUSF01000,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU268,
EUSF01003,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU243,
EUSF01002,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU696,
EUSF01005,Ascomycota,Ascomycota,Helotiales,Helotiales,64_Trichoglossum_hirsutum,OTU5,179_Disciotis_venosa
