Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common order-level assignment,Order-level assignment,Taxon assignment,otu,otu_references
EUSF01721,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU386,
EUSF00876,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU858,"OTU859,OTU860,OTU861,OTU986,OTU980,OTU935,OTU866"
EUSF01108,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU778,
EUSF01689,Ascomycota,Ascomycota,Helotiales,Helotiales,1_Leotia_lubrica,OTU751,
EUSF01058,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU474,
EUSF01059,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU323,
EUSF01056,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU295,
EUSF01057,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU259,
EUSF01054,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU394,
EUSF01055,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU627,
EUSF01052,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU442,
EUSF01053,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU502,
EUSF01050,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU324,
EUSF01051,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU475,
EUSF01116,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU775,
EUSF00758,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU617,
EUSF00759,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU991,
EUSF01298,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU554,
EUSF01112,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU357,
EUSF01111,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU320,
EUSF01110,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU321,
EUSF01294,Ascomycota,Ascomycota,Sordariales,Sordariales,1085_Podospora_anserina,OTU288,
EUSF01295,Ascomycota,Ascomycota,Pezizales,Pezizales,65_Aleuria_aurantia,OTU417,OTU414
EUSF00750,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU306,
EUSF00751,Ascomycota,Ascomycota,Dothideales,"Dothideales,Capnodiales","274_Dothidea_sambuci,921_Dothidea_insculpta,939_Capnodium_coffeae",OTU31,
EUSF00756,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU962,
EUSF00754,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU981,
EUSF01118,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU61,
EUSF01593,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU236,
EUSF01094,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU472,
EUSF00878,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU881,
EUSF00794,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU932,
EUSF01079,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU749,
EUSF01618,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU489,
EUSF01619,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU214,
EUSF00952,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU396,
EUSF00953,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU126,"OTU125,OTU131,OTU129,OTU133,OTU138,OTU137,OTU136,OTU132,OTU135,OTU130,OTU128,OTU134,OTU127,OTU209,OTU210,OTU207,OTU185,OTU191,OTU111,OTU114,OTU188,OTU190,296_Orceolina_kerguelensis,744_Potebniamyces_pyri,OTU326,OTU857,OTU97,OTU94,OTU192,OTU211,OTU91,OTU145,OTU105,OTU121,OTU208,OTU657,OTU140,OTU307,OTU404,OTU376,OTU244,224_Pertusaria_dactylina,78_Acarosporina_microspora,935_Diaporthe_eres,642_Bacidia_schweinitzii,1081_Magnaporthe_grisea,645_Umbilicaria_mammulata"
EUSF00954,Ascomycota,Ascomycota,Capnodiales,Capnodiales,939_Capnodium_coffeae,OTU4,
EUSF00955,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU560,
EUSF00956,Ascomycota,Ascomycota,Capnodiales,Capnodiales,939_Capnodium_coffeae,OTU2,
EUSF00957,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU125,
EUSF00958,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU104,
