Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common order-level assignment,Order-level assignment,Taxon assignment,otu,otu_references,strain_name,Phylum,Order,Genusspecies,AFTOL-ID,Strain_voucher,x18S,x28S,RPB1,RPB2,EF1A,nucITS,PreviousName
EUSF01204,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU580,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01205,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU497,,1081_Magnaporthe_grisea,Ascomycota,Sordariomycetes incertae sedis, Magnaporthe grisea ,1081, GenBank, AB026819, AB026819, XM_362207 , XM_362269 , AY849694, AB026819,
EUSF01206,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU54,,71_Peziza_proteana_f_sparassoides,Ascomycota,Pezizales, Peziza proteana f. sparassoides ,71, OSC 100024, AY544703, AY544659, DQ518184, --, --, DQ491497,
EUSF01207,Ascomycota,Ascomycota,Pezizales,Pezizales,50_Sarcoscypha_coccinea,OTU96,,50_Sarcoscypha_coccinea,Ascomycota,Pezizales, Sarcoscypha coccinea ,50, OSC 100003, AY544691, AY544647, --, DQ497612, --, DQ491486,
EUSF01208,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU759,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01209,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU615,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01210,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU290,,51_Xylaria_hypoxylon,Ascomycota,Xylariales, Xylaria hypoxylon ,51, OSC 100004, AY544692, AY544648, DQ471114, DQ470878, DQ471042, DQ491487,
EUSF01211,Ascomycota,Ascomycota,Pezizales,Pezizales,50_Sarcoscypha_coccinea,OTU47,,50_Sarcoscypha_coccinea,Ascomycota,Pezizales, Sarcoscypha coccinea ,50, OSC 100003, AY544691, AY544647, --, DQ497612, --, DQ491486,
EUSF01212,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU462,,51_Xylaria_hypoxylon,Ascomycota,Xylariales, Xylaria hypoxylon ,51, OSC 100004, AY544692, AY544648, DQ471114, DQ470878, DQ471042, DQ491487,
EUSF01213,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU256,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF01214,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU726,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01215,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU18,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF01216,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU496,,940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
EUSF01217,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU526,,1081_Magnaporthe_grisea,Ascomycota,Sordariomycetes incertae sedis, Magnaporthe grisea ,1081, GenBank, AB026819, AB026819, XM_362207 , XM_362269 , AY849694, AB026819,
EUSF01218,Ascomycota,Ascomycota,Lecanorales,Lecanorales,3_Cladonia_caroliniana,OTU994,,3_Cladonia_caroliniana,Ascomycota,Lecanorales, Cladonia caroliniana ,3, 01-26-03.2, AY584664, AY584640, DQ782822, AY584684, DQ782888, DQ782832,
EUSF01219,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU255,,51_Xylaria_hypoxylon,Ascomycota,Xylariales, Xylaria hypoxylon ,51, OSC 100004, AY544692, AY544648, DQ471114, DQ470878, DQ471042, DQ491487,
EUSF01220,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU355,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01222,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU391,,940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
EUSF01223,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU525,"OTU559,OTU446,OTU544,OTU535,OTU549,OTU587",1081_Magnaporthe_grisea,Ascomycota,Sordariomycetes incertae sedis, Magnaporthe grisea ,1081, GenBank, AB026819, AB026819, XM_362207 , XM_362269 , AY849694, AB026819,
EUSF01224,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU725,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01225,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU641,,940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
EUSF01228,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU440,,940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
EUSF01229,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU254,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01230,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU579,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF01231,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU626,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF01232,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU558,,940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
